instruction,intent,category,tags,response,conversation
wanna check the checked carry-on baggage allowance how could i do it,check_baggage_allowance,BAGGAGE,BCILPQ,"To determine your checked carry-on baggage allowance, please adhere to the following steps:

1. Visit {{WEBSITE_URL}} or access the {{APP_NAME}} application.
2. Log into your personal account.
3. Select the {{BOOKINGS_OPTION}} section.
4. Enter your booking reference or flight information.
5. Your baggage allowance details will be displayed.

Should you require any additional help, feel free to reach out to our customer support via the {{APP_NAME}} application or at {{WEBSITE_URL}}.","Query: wanna check the checked carry-on baggage allowance how could i do it
Response: To determine your checked carry-on baggage allowance, please adhere to the following steps:

1. Visit the airline's website or access the the mobile app application.
2. Log into your personal account.
3. Select the Bookings section.
4. Enter your booking reference or flight information.
5. Your baggage allowance details will be displayed.

Should you require any additional help, feel free to reach out to our customer support via the the mobile app application or at the airline's website."
I'm looking for information about my checked baggage allowance how could i find it,check_baggage_allowance,BAGGAGE,BCEIQ,"For details regarding your checked baggage allowance, please follow these instructions: 

1. Go to {{WEBSITE_URL}} or launch the {{APP_NAME}} app. 
2. Log in to your account. 
3. Select the {{BOOKINGS_OPTION}} section. 
4. Enter the relevant booking or flight details. 
5. You will then see your checked baggage allowance information. 

If you need further help, contact our customer service via the {{APP_NAME}} app or visit {{WEBSITE_URL}} for more support.","Query: I'm looking for information about my checked baggage allowance how could i find it
Response: For details regarding your checked baggage allowance, please follow these instructions: 

1. Go to the airline's website or launch the the mobile app app. 
2. Log in to your account. 
3. Select the Bookings section. 
4. Enter the relevant booking or flight details. 
5. You will then see your checked baggage allowance information. 

If you need further help, contact our customer service via the the mobile app app or visit the airline's website for more support."
need to see the checked baggage allowace help me,check_baggage_allowance,BAGGAGE,BCQZ,"To access your checked baggage allowance details, please follow these steps:

1. Go to {{WEBSITE_URL}} or launch the {{APP_NAME}} application.
2. Log into your personal account.
3. Locate and select the {{BOOKINGS_OPTION}} menu.
4. Enter your reservation number or flight details as required.
5. The information on your baggage allowance will be displayed.

If you need additional information, our customer support team is available via the {{APP_NAME}} app or on {{WEBSITE_URL}}.","Query: need to see the checked baggage allowace help me
Response: To access your checked baggage allowance details, please follow these steps:

1. Go to the airline's website or launch the the mobile app application.
2. Log into your personal account.
3. Locate and select the Bookings menu.
4. Enter your reservation number or flight details as required.
5. The information on your baggage allowance will be displayed.

If you need additional information, our customer support team is available via the the mobile app app or on the airline's website."
"I would like to know about my fucking checked baggage allowance, could you give me some information?",check_baggage_allowance,BAGGAGE,BCIPW,"To verify your check-in baggage allowance, please follow these instructions: 

1. Visit {{WEBSITE_URL}} or use the {{APP_NAME}} application. 
2. Log in to your personal account. 
3. Select the {{BOOKINGS_OPTION}} option. 
4. Enter your flight details or booking number. 
5. The details of your baggage allowance will be displayed promptly.

Should you require additional help, kindly reach out to our customer service via the {{APP_NAME}} application or {{WEBSITE_URL}}.","Query: I would like to know about my fucking checked baggage allowance, could you give me some information?
Response: To verify your check-in baggage allowance, please follow these instructions: 

1. Visit the airline's website or use the the mobile app application. 
2. Log in to your personal account. 
3. Select the Bookings option. 
4. Enter your flight details or booking number. 
5. The details of your baggage allowance will be displayed promptly.

Should you require additional help, kindly reach out to our customer service via the the mobile app application or the airline's website."
need to see the fucking checked carry-on baggage allowance where do i do it,check_baggage_allowance,BAGGAGE,BCILQW,"To check your carry-on baggage allowance, please take the following steps:

1. Visit {{WEBSITE_URL}} or launch the {{APP_NAME}} application.
2. Log in with your username and password.
3. Select the {{BOOKINGS_OPTION}} section.
4. Enter your reservation details or flight information as prompted.
5. Your carry-on baggage information will be displayed.

If you need more help, reach out to our customer service team through the {{APP_NAME}} application or at {{WEBSITE_URL}}.","Query: need to see the fucking checked carry-on baggage allowance where do i do it
Response: To check your carry-on baggage allowance, please take the following steps:

1. Visit the airline's website or launch the the mobile app application.
2. Log in with your username and password.
3. Select the Bookings section.
4. Enter your reservation details or flight information as prompted.
5. Your carry-on baggage information will be displayed.

If you need more help, reach out to our customer service team through the the mobile app application or at the airline's website."
"I got to see the checked baggage allowance, where can I do it?",check_baggage_allowance,BAGGAGE,BCI,"To check your baggage allowance, please follow these detailed steps:

1. Visit {{WEBSITE_URL}} or launch the {{APP_NAME}} application.
2. Log in using your account credentials.
3. Select the {{BOOKINGS_OPTION}} tab.
4. Input your reservation number or flight information.
5. Your checked baggage allowance will be displayed.

For further queries, reach out to our customer service team via the {{APP_NAME}} app or at {{WEBSITE_URL}}.","Query: I got to see the checked baggage allowance, where can I do it?
Response: To check your baggage allowance, please follow these detailed steps:

1. Visit the airline's website or launch the the mobile app application.
2. Log in using your account credentials.
3. Select the Bookings tab.
4. Input your reservation number or flight information.
5. Your checked baggage allowance will be displayed.

For further queries, reach out to our customer service team via the the mobile app app or at the airline's website."
id likme to see the fucking checked baggage allowance can i get some help,check_baggage_allowance,BAGGAGE,BCIPQWZ,"To find out your checked baggage allowance, please follow these instructions:

1. Visit {{WEBSITE_URL}} or access the {{APP_NAME}} application.
2. Log into your account.
3. Navigate to the {{BOOKINGS_OPTION}} section.
4. Enter the necessary booking details or flight information.
5. Your baggage allowance details will be displayed.

For additional support, reach out to our customer care team via the {{APP_NAME}} app or visit {{WEBSITE_URL}} for more contact options.","Query: id likme to see the fucking checked baggage allowance can i get some help
Response: To find out your checked baggage allowance, please follow these instructions:

1. Visit the airline's website or access the the mobile app application.
2. Log into your account.
3. Navigate to the Bookings section.
4. Enter the necessary booking details or flight information.
5. Your baggage allowance details will be displayed.

For additional support, reach out to our customer care team via the the mobile app app or visit the airline's website for more contact options."
mi looking for information about my checked carry-on baggage allowance could ya help me,check_baggage_allowance,BAGGAGE,BCILPQZ,"To check your baggage allowance, please follow these directions:

1. Visit {{WEBSITE_URL}} or launch the {{APP_NAME}} application.
2. Log in to your account.
3. Select the {{BOOKINGS_OPTION}} menu.
4. Enter your booking reference or flight details.
5. Your baggage allowance will be displayed.

Should you need additional help, reach out to our customer service team available via the {{APP_NAME}} app or on {{WEBSITE_URL}}.","Query: mi looking for information about my checked carry-on baggage allowance could ya help me
Response: To check your baggage allowance, please follow these directions:

1. Visit the airline's website or launch the the mobile app application.
2. Log in to your account.
3. Select the Bookings menu.
4. Enter your booking reference or flight details.
5. Your baggage allowance will be displayed.

Should you need additional help, reach out to our customer service team available via the the mobile app app or on the airline's website."
I'd like to know about my fucking checked baggage allowance could u give me some information,check_baggage_allowance,BAGGAGE,BCIPQWZ,"To check your baggage allowance, please follow these instructions: 

1. Visit {{WEBSITE_URL}} or use the {{APP_NAME}} application. 
2. Log in to your personal account. 
3. Select the {{BOOKINGS_OPTION}} option. 
4. Enter your flight details or booking number. 
5. The details of your checked baggage allowance will be displayed.

Should you require additional help, kindly reach out to our customer service via the {{APP_NAME}} application or {{WEBSITE_URL}}.","Query: I'd like to know about my fucking checked baggage allowance could u give me some information
Response: To check your baggage allowance, please follow these instructions: 

1. Visit the airline's website or use the the mobile app application. 
2. Log in to your personal account. 
3. Select the Bookings option. 
4. Enter your flight details or booking number. 
5. The details of your checked baggage allowance will be displayed.

Should you require additional help, kindly reach out to our customer service via the the mobile app application or the airline's website."
im looking for information about my fucking checked baggage allowance how could i find it,check_baggage_allowance,BAGGAGE,BCIQW,"To find details regarding your checked baggage allowance, please follow these steps:

1. Visit {{WEBSITE_URL}} or access the {{APP_NAME}} app.
2. Log into your user account.
3. Navigate to the {{BOOKINGS_OPTION}} section.
4. Enter your booking reference or flight details.
5. Your checked baggage allowance will then be displayed.

For any additional help, feel free to reach out to our customer support via the {{APP_NAME}} app or at {{WEBSITE_URL}}.","Query: im looking for information about my fucking checked baggage allowance how could i find it
Response: To find details regarding your checked baggage allowance, please follow these steps:

1. Visit the airline's website or access the the mobile app app.
2. Log into your user account.
3. Navigate to the Bookings section.
4. Enter your booking reference or flight details.
5. Your checked baggage allowance will then be displayed.

For any additional help, feel free to reach out to our customer support via the the mobile app app or at the airline's website."
id like to see the checked baggage allowance where could i do itg,check_baggage_allowance,BAGGAGE,BCIPQZ,"To find out your checked baggage allowance, please follow these directions:

1. Visit {{WEBSITE_URL}} or launch the {{APP_NAME}} application.
2. Log in to your account.
3. Select the {{BOOKINGS_OPTION}} menu.
4. Enter your booking reference or flight details.
5. Your baggage allowance will be displayed.

Should you need additional help, reach out to our customer support team available via the {{APP_NAME}} app or on {{WEBSITE_URL}}.","Query: id like to see the checked baggage allowance where could i do itg
Response: To find out your checked baggage allowance, please follow these directions:

1. Visit the airline's website or launch the the mobile app application.
2. Log in to your account.
3. Select the Bookings menu.
4. Enter your booking reference or flight details.
5. Your baggage allowance will be displayed.

Should you need additional help, reach out to our customer support team available via the the mobile app app or on the airline's website."
i got to see the checked carry-on baggage allowance will uhelp me,check_baggage_allowance,BAGGAGE,BCILPQ,"To determine your checked carry-on baggage allowance, please adhere to the following steps:

1. Visit {{WEBSITE_URL}} or access the {{APP_NAME}} application.
2. Log into your personal account.
3. Navigate to the {{BOOKINGS_OPTION}} section.
4. Enter the relevant booking reference or flight details.
5. You will then be presented with the baggage information.

For additional support, do not hesitate to contact our customer service via the {{APP_NAME}} application or at {{WEBSITE_URL}}.","Query: i got to see the checked carry-on baggage allowance will uhelp me
Response: To determine your checked carry-on baggage allowance, please adhere to the following steps:

1. Visit the airline's website or access the the mobile app application.
2. Log into your personal account.
3. Navigate to the Bookings section.
4. Enter the relevant booking reference or flight details.
5. You will then be presented with the baggage information.

For additional support, do not hesitate to contact our customer service via the the mobile app application or at the airline's website."
I'd like to see the ufcking checked carry-on baggage allowance i need assistance,check_baggage_allowance,BAGGAGE,BCLPQWZ,"To check your baggage allowance, please follow these instructions:

1. Visit {{WEBSITE_URL}} or launch the {{APP_NAME}} application.
2. Log in with your username and password.
3. Select the {{BOOKINGS_OPTION}} section.
4. Enter your reservation details or flight information.
5. Your baggage allowance details will be displayed.

For additional help, reach out to our customer support team via the {{APP_NAME}} app or visit {{WEBSITE_URL}} for more contact options.","Query: I'd like to see the ufcking checked carry-on baggage allowance i need assistance
Response: To check your baggage allowance, please follow these instructions:

1. Visit the airline's website or launch the the mobile app application.
2. Log in with your username and password.
3. Select the Bookings section.
4. Enter your reservation details or flight information.
5. Your baggage allowance details will be displayed.

For additional help, reach out to our customer support team via the the mobile app app or visit the airline's website for more contact options."
"I need to see the checked carry-on baggage allowance, can you help me?",check_baggage_allowance,BAGGAGE,BCIL,"To determine your checked baggage allowance, please follow these instructions:

1. Visit {{WEBSITE_URL}} or use the {{APP_NAME}} application.
2. Log into your personal account.
3. Select the {{BOOKINGS_OPTION}} section.
4. Enter the required booking or flight information.
5. The specific baggage allowance details will be displayed.

Should you need additional support, reach out to our customer service through the {{APP_NAME}} application or at {{WEBSITE_URL}}.","Query: I need to see the checked carry-on baggage allowance, can you help me?
Response: To determine your checked baggage allowance, please follow these instructions:

1. Visit the airline's website or use the the mobile app application.
2. Log into your personal account.
3. Select the Bookings section.
4. Enter the required booking or flight information.
5. The specific baggage allowance details will be displayed.

Should you need additional support, reach out to our customer service through the the mobile app application or at the airline's website."
I got to ceck the checked carry-on baggage allowance,check_baggage_allowance,BAGGAGE,BLZ,"To access your checked baggage allowance details, please follow these steps: 

1. Visit {{WEBSITE_URL}} or launch the {{APP_NAME}} application. 
2. Log into your personal account. 
3. Locate and select the {{BOOKINGS_OPTION}} tab. 
4. Input your reservation number or flight information. 
5. The specific baggage allowance for your trip will be displayed. 

Should you require any additional help, feel free to reach out to our customer support via the {{APP_NAME}} application or by visiting {{WEBSITE_URL}}.","Query: I got to ceck the checked carry-on baggage allowance
Response: To access your checked baggage allowance details, please follow these steps: 

1. Visit the airline's website or launch the the mobile app application. 
2. Log into your personal account. 
3. Locate and select the Bookings tab. 
4. Input your reservation number or flight information. 
5. The specific baggage allowance for your trip will be displayed. 

Should you require any additional help, feel free to reach out to our customer support via the the mobile app application or by visiting the airline's website."
"I got to see the fucking checked baggage allowance , could you help me?",check_baggage_allowance,BAGGAGE,BCIPWZ,"To find out your checked baggage allowance, please follow these directions:

1. Visit {{WEBSITE_URL}} or launch the {{APP_NAME}} application.
2. Log into your account.
3. Locate and select the {{BOOKINGS_OPTION}} section.
4. Enter your booking reference or flight information.
5. Your baggage allowance will then be displayed.

For additional help, reach out to our customer service team available via the {{APP_NAME}} app or on {{WEBSITE_URL}}.","Query: I got to see the fucking checked baggage allowance , could you help me?
Response: To find out your checked baggage allowance, please follow these directions:

1. Visit the airline's website or launch the the mobile app application.
2. Log into your account.
3. Locate and select the Bookings section.
4. Enter your booking reference or flight information.
5. Your baggage allowance will then be displayed.

For additional help, reach out to our customer service team available via the the mobile app app or on the airline's website."
"I want to see the fucking checked carry-on baggage allowance, could you help me?",check_baggage_allowance,BAGGAGE,BCILPW,"To check your baggage allowance, please follow these directions:

1. Visit {{WEBSITE_URL}} or launch the {{APP_NAME}} application.
2. Log in to your account.
3. Select the {{BOOKINGS_OPTION}} menu.
4. Enter your booking reference or flight details.
5. Your baggage allowance will be displayed.

Should you need additional help, reach out to our customer service team available via the {{APP_NAME}} app or on {{WEBSITE_URL}}.","Query: I want to see the fucking checked carry-on baggage allowance, could you help me?
Response: To check your baggage allowance, please follow these directions:

1. Visit the airline's website or launch the the mobile app application.
2. Log in to your account.
3. Select the Bookings menu.
4. Enter your booking reference or flight details.
5. Your baggage allowance will be displayed.

Should you need additional help, reach out to our customer service team available via the the mobile app app or on the airline's website."
I am looking for information about my checked carry-on baggage allowance,check_baggage_allowance,BAGGAGE,BCEL,"To retrieve your checked baggage allowance details, please follow these instructions:

1. Visit {{WEBSITE_URL}} or launch the {{APP_NAME}} application.
2. Log in to your personal account.
3. Select the {{BOOKINGS_OPTION}} section.
4. Enter the required booking or flight information.
5. The specific baggage allowance for your trip will be displayed.

Should you require any additional help, feel free to reach out to our customer service via the {{APP_NAME}} app or visit {{WEBSITE_URL}} for more contact options.","Query: I am looking for information about my checked carry-on baggage allowance
Response: To retrieve your checked baggage allowance details, please follow these instructions:

1. Visit the airline's website or launch the the mobile app application.
2. Log in to your personal account.
3. Select the Bookings section.
4. Enter the required booking or flight information.
5. The specific baggage allowance for your trip will be displayed.

Should you require any additional help, feel free to reach out to our customer service via the the mobile app app or visit the airline's website for more contact options."
wannaa know more about my fucking checked baggage allowance can ya find some information,check_baggage_allowance,BAGGAGE,BCIQWZ,"To check your baggage allowance, please follow these directions:

1. Visit {{WEBSITE_URL}} or launch the {{APP_NAME}} application.
2. Log in using your credentials.
3. Select the {{BOOKINGS_OPTION}} menu.
4. Enter your booking reference or flight details as prompted.
5. Your checked baggage allowance will appear on the screen.

Should you need more help, feel free to contact our customer support via the {{APP_NAME}} application or at {{WEBSITE_URL}}.","Query: wannaa know more about my fucking checked baggage allowance can ya find some information
Response: To check your baggage allowance, please follow these directions:

1. Visit the airline's website or launch the the mobile app application.
2. Log in using your credentials.
3. Select the Bookings menu.
4. Enter your booking reference or flight details as prompted.
5. Your checked baggage allowance will appear on the screen.

Should you need more help, feel free to contact our customer support via the the mobile app application or at the airline's website."
"I got to see the checked baggage allowance, help me",check_baggage_allowance,BAGGAGE,BC,"To check your baggage allowance, please follow these instructions:

1. Visit {{WEBSITE_URL}} or launch the {{APP_NAME}} application.
2. Log in using your credentials.
3. Select the {{BOOKINGS_OPTION}} menu option.
4. Enter your flight details or booking reference number.
5. Your checked baggage allowance will be displayed.

If you require additional help, reach out to our customer service via the {{APP_NAME}} application or on {{WEBSITE_URL}}.","Query: I got to see the checked baggage allowance, help me
Response: To check your baggage allowance, please follow these instructions:

1. Visit the airline's website or launch the the mobile app application.
2. Log in using your credentials.
3. Select the Bookings menu option.
4. Enter your flight details or booking reference number.
5. Your checked baggage allowance will be displayed.

If you require additional help, reach out to our customer service via the the mobile app application or on the airline's website."
"I need mu fucking boarding pass, can you help me receive it?",get_boarding_pass,BOARDING_PASS,BCILWZ,"To obtain your boarding pass, please follow the outlined procedure: 

1. Launch the {{APP_NAME}} or navigate to the airline’s {{WEBSITE_URL}}.
2. Sign in to your profile or utilize the booking reference number to retrieve your flight information.
3. Locate your flight by exploring the {{BOOKINGS_SECTION}} section.
4. Choose the relevant flight and opt for the view or download boarding pass feature.
5. Print your boarding pass at home or store the digital copy on your mobile device.

For additional assistance, the {{CUSTOMER_SUPPORT}} team is readily available through the app or website to support you.","Query: I need mu fucking boarding pass, can you help me receive it?
Response: To obtain your boarding pass, please follow the outlined procedure: 

1. Launch the the mobile app or navigate to the airline’s the airline's website.
2. Sign in to your profile or utilize the booking reference number to retrieve your flight information.
3. Locate your flight by exploring the {{BOOKINGS_SECTION}} section.
4. Choose the relevant flight and opt for the view or download boarding pass feature.
5. Print your boarding pass at home or store the digital copy on your mobile device.

For additional assistance, the {{CUSTOMER_SUPPORT}} team is readily available through the app or website to support you."
"I'd like to get my boarding pass, howe can I do it?",get_boarding_pass,BOARDING_PASS,BCIPZ,"To retrieve your boarding pass, please follow the outlined procedure: 

1. Launch the {{APP_NAME}} or navigate to the airline’s {{WEBSITE_URL}}.
2. Sign in to your profile or utilize the booking reference number to locate your trip information.
3. Access your flight by exploring the {{BOOKINGS_SECTION}} section.
4. Choose your flight and then opt for the view or download boarding pass feature.
5. You may print the boarding pass at home or store the digital copy on your smartphone.

If you require additional assistance, the {{CUSTOMER_SUPPORT}} team is available to support you via the app or website.","Query: I'd like to get my boarding pass, howe can I do it?
Response: To retrieve your boarding pass, please follow the outlined procedure: 

1. Launch the the mobile app or navigate to the airline’s the airline's website.
2. Sign in to your profile or utilize the booking reference number to locate your trip information.
3. Access your flight by exploring the {{BOOKINGS_SECTION}} section.
4. Choose your flight and then opt for the view or download boarding pass feature.
5. You may print the boarding pass at home or store the digital copy on your smartphone.

If you require additional assistance, the {{CUSTOMER_SUPPORT}} team is available to support you via the app or website."
I'm looking for my fucking boarding pasxs,get_boarding_pass,BOARDING_PASS,BEQWZ,"To retrieve your boarding pass, please follow these procedures:

1. Open the {{APP_NAME}} or navigate to the airline’s {{WEBSITE_URL}}.
2. Sign in to your profile or enter your booking reference number to access your flight information.
3. Locate your specific flight by browsing the {{BOOKINGS_SECTION}}.
4. Choose your flight, then opt for the view or download boarding pass feature.
5. You may print the boarding pass at home or save the digital copy on your mobile device.

If further assistance is required, {{CUSTOMER_SUPPORT}} is readily available to help you via the app or the website.","Query: I'm looking for my fucking boarding pasxs
Response: To retrieve your boarding pass, please follow these procedures:

1. Open the the mobile app or navigate to the airline’s the airline's website.
2. Sign in to your profile or enter your booking reference number to access your flight information.
3. Locate your specific flight by browsing the {{BOOKINGS_SECTION}}.
4. Choose your flight, then opt for the view or download boarding pass feature.
5. You may print the boarding pass at home or save the digital copy on your mobile device.

If further assistance is required, {{CUSTOMER_SUPPORT}} is readily available to help you via the app or the website."
i need help to receive my fucking  boarding pass,get_boarding_pass,BOARDING_PASS,BLQWZ,"To receive your boarding pass, please undertake the following steps:

1. Launch the {{APP_NAME}} or go to the airline's {{WEBSITE_URL}}.
2. Sign in to your account or use your booking reference number to locate your journey information.
3. Navigate to the {{BOOKINGS_SECTION}} to locate your upcoming flights.
4. Choose the pertinent flight and select the option for boarding pass retrieval or download.
5. Either print the boarding pass yourself or save a digital copy on your mobile device.

For further assistance, do not hesitate to contact {{CUSTOMER_SUPPORT}} via the app or website.","Query: i need help to receive my fucking  boarding pass
Response: To receive your boarding pass, please undertake the following steps:

1. Launch the the mobile app or go to the airline's the airline's website.
2. Sign in to your account or use your booking reference number to locate your journey information.
3. Navigate to the {{BOOKINGS_SECTION}} to locate your upcoming flights.
4. Choose the pertinent flight and select the option for boarding pass retrieval or download.
5. Either print the boarding pass yourself or save a digital copy on your mobile device.

For further assistance, do not hesitate to contact {{CUSTOMER_SUPPORT}} via the app or website."
